# Vocabulario cotidiano que faltaba: verbos frecuentes, compuestos verbo-objeto
# y sustantivos de uso diario que no entran en las listas HSK bajas.
你好	hola
毫升	mililitro
保质期	fecha de consumo preferente
入	entrar / meter
入手	hacerse con ello
推荐	recomendar
建议	sugerir / sugerencia
提议	proponer
答应	acceder / prometer
拒绝	rechazar
同意	estar de acuerdo
反对	oponerse
支持	apoyar
批评	criticar
夸	elogiar
骂	regañar / insultar
吵架	discutir
和好	reconciliarse
道歉	pedir perdón
原谅	perdonar
感谢	agradecer
祝福	desear lo mejor
安慰	consolar
鼓励	animar
提醒	avisar / recordar
通知	avisar
宣布	anunciar
承认	admitir
否认	negar
怀疑	sospechar
相信	creer
猜	adivinar
想象	imaginar
考虑	pensárselo
决定	decidir
选择	elegir
放弃	renunciar
坚持	insistir
努力	esforzarse
成功	lograrlo
失败	fracasar
尝试	intentar
练习	practicar
复习	repasar
预习	preparar la lección
背	memorizar / espalda / cargar a la espalda
记住	quedarse con algo / memorizar
忘掉	olvidarse de
理解	entender
掌握	dominar
熟练	con soltura
进步	progresar
退步	empeorar
提高	mejorar
下降	bajar
上升	subir
增加	aumentar
减少	reducir
保持	mantener
改变	cambiar
恢复	recuperar
继续	continuar
停止	parar
开始	empezar
结束	terminar
完成	completar
准备	preparar
安排	organizar
计划	planear
实现	hacer realidad
达到	alcanzar
超过	superar
比如	por ejemplo
包邮	con envío incluido
秒	segundo
分钟	minuto
小时	hora
凌晨	de madrugada
上午	por la mañana
中午	al mediodía
傍晚	al atardecer
深夜	de noche cerrada
家里	en casa
桌子上	encima de la mesa
年轻人	joven
老年人	persona mayor
视频	vídeo
笑死	morirse de risa
一个人	solo / una persona
个人	uno mismo / individual
进来	entrar (hacia aquí)
进去	entrar (hacia allí)
出来	salir (hacia aquí)
出去	salir (hacia allí)
回来	volver (aquí)
回去	volver (allí)
过来	acercarse
过去	pasar / ir hacia allí
上来	subir (hacia aquí)
下来	bajar (hacia aquí)
起来	levantarse / ponerse a
越来越多	cada vez más
越来越少	cada vez menos
大部分	la mayoría
一部分	una parte
不少	bastantes
许多	muchos
好多	un montón
