# Vocabulario HSK 4
爱情	amor (de pareja)
输	perder / transmitir
熟悉	conocer bien / familiar
数量	cantidad
数字	cifra / número
帅	guapo
顺便	de paso
顺利	sin problemas
顺序	orden / secuencia
说明	explicar / instrucciones
硕士	máster
死	morir
速度	velocidad
塑料袋	bolsa de plástico
酸	ácido / agrio
算	calcular / contar como
随便	como quieras / informal
随着	a medida que
孙子	nieto
所有	todo / todos los
抬	levantar / cargar entre varios
态度	actitud
谈	hablar / tratar
弹钢琴	tocar el piano
汤	sopa
趟	viaje / vez (ida y vuelta)
躺	tumbarse
讨论	debatir
讨厌	odiar / molesto
特点	rasgo / característica
提供	proporcionar
提前	adelantar
提醒	recordar (avisar)
填空	rellenar huecos
条件	condición / requisito
停止	detener
挺	bastante
通知	avisar / aviso
同情	compadecer
推	empujar
推迟	aplazar
脱	quitarse (ropa)
袜子	calcetines
完全	completamente
往	hacia
往往	suele / a menudo
网球	tenis
网站	sitio web
危险	peligro / peligroso
味道	sabor / olor
温度	temperatura
文章	artículo / texto
握手	dar la mano
污染	contaminación
无	sin / no tener
无聊	aburrido
无论	sea cual sea
误会	malentendido
西红柿	tomate
吸引	atraer
洗衣机	lavadora
咸	salado
现代	moderno / la época actual
羡慕	envidiar (sanamente)
限制	limitar / límite
香	oloroso / rico
相反	al contrario
详细	detallado
响	sonar / ruidoso
消息	noticia
小说	novela
笑话	chiste / burlarse
效果	efecto / resultado
辛苦	duro / costar esfuerzo
心情	estado de ánimo
信任	confiar
信心	confianza / fe
信用卡	tarjeta de crédito
兴奋	entusiasmado
行	valer / de acuerdo / ir
醒	despertarse
性别	sexo / género
性格	carácter
幸福	felicidad / feliz
修	arreglar / reparar
许多	muchos
血	sangre
压力	presión / estrés
牙膏	pasta de dientes
亚洲	Asia
盐	sal
严格	estricto
严重	grave
研究生	estudiante de posgrado
演出	actuación / actuar
演员	actor
阳光	luz del sol
养成	adquirir (un hábito)
样子	aspecto / pinta
邀请	invitar
钥匙	llave
页	página
叶子	hoja
一切	todo
以	con / para (formal)
亿	cien millones
意见	opinión / queja
艺术	arte
因此	por eso
饮料	bebida
引起	provocar / causar
印象	impresión
赢	ganar
硬	duro / rígido
勇敢	valiente
永远	para siempre
优点	virtud / punto fuerte
优秀	excelente
幽默	humor / con humor
由于	debido a
尤其	sobre todo
有趣	divertido / interesante
友好	amistoso
友谊	amistad
愉快	agradable / feliz
于是	así pues
语法	gramática
语言	lengua / idioma
羽毛球	bádminton
预习	preparar (la lección)
圆	redondo / círculo
原来	resulta que / original
原谅	perdonar
原因	causa / motivo
约会	cita
阅读	leer / lectura
允许	permitir
杂志	revista
咱们	nosotros (incluyéndote)
暂时	de momento
脏	sucio
责任	responsabilidad
增加	aumentar
增长	crecer
窄	estrecho
招聘	contratar / oferta de empleo
真正	auténtico / de verdad
整理	ordenar / organizar
整齐	ordenado / alineado
正常	normal
正好	justo / venir bien
正确	correcto
正式	formal / oficial
证明	demostrar / certificado
支持	apoyar
知识	conocimientos
值得	merecer la pena
直接	directo
植物	planta
职业	profesión
指	señalar / dedo
只好	no quedar más remedio que
只要	con tal de que
质量	calidad
至少	al menos
制造	fabricar
中文	chino (idioma)
重点	lo principal / énfasis
重视	dar importancia a
周围	alrededor
猪	cerdo
逐渐	poco a poco
主动	por iniciativa propia
主意	idea / ocurrencia
祝贺	felicitar
著名	famoso
专门	específicamente / especializado
专业	especialidad / profesional
赚	ganar (dinero)
撞	chocar / golpear
准确	exacto
准时	puntual
仔细	con cuidado / minucioso
自然	naturaleza / natural
总结	resumir / balance
租	alquilar
组成	componer / formar
组织	organizar / organización
嘴	boca
最好	lo mejor / más vale que
最后	al final / el último
尊重	respetar
做生意	hacer negocios
座位	asiento
作者	autor
